,stem,class,ergative,plural,translation
76,анкь,IV,анкьи,ла,неделя; сид анкьилаъ в одну неделю; желалъла анкьилаъ гикьа гоцIал навестить (или навещу) на следующей неделе; анкьилаъ илохъа гьаьлтIи лъикъойо в течение недели мы закончили работу ♦ анкьилāд эцал долго оставаться (задержаться) гдел. (букв.  33 неделями оставаться); анкьла йāгъал долго оставаться (букв. недели отнимать); анкьилаъас анкьилаъ в каждую неделю
77,анта,III,антала,ла,"время, пора; кIетIо анта хорошее время; букъа анталаъ в долгое продолжительное время; анта гаьчIелаъ а) когда нет времени; в неподходящее время б) поздно ▲"
78,анхра,III,анхрали,ро,"зоол. крыса (тляд.); ср. чачананкъо, лъаьраьъанкъо"
79,анцIили,IV,анцIилийа,йа,бот. бузина (вонючая)
80,анцIукъала,IV,анцIукъалали,йа,бот. название сорняка
81,апаракIлъи,IV,апаракIлъила,йа,1) бродяжничество 2) перен. проституция
82,апарат,III,апаратли,ла,в разн. знач. аппарат; сурат багъоцас апарат фотоаппарат; кино йегалцас апарат кинопроектор; апаратлис къути коробка аппарата; апаратлид сурат багъал фотографировать
83,аперацийа,IV,аперацийали,а,операция; аперацийā йовагьцас билIо операционное помещение; аперацийа йовал оперировать
84,апрел,III,апрелли,а,апрель; апрел бицоъ (// бицолъ) в апреле; дие ис апреллиъ (// апрел бицоъ) ахъна мой брат родился в апреле
85,аптека,IV,аптекали,а,аптека; аптекалис билIо здание (помещение) аптеки; аптекалиъис дарува йовахал купить лекарства в аптеке
86,аптекарлъи,IV,аптекарлъила,а,профессия (должность) формацевта (аптекаря); аптекарлъилаъ йогьдāл работать фармацевтом (аптекарем); аптекарлъилаъ хъогьдāл учиться на фармацевта (аптекаря)
87,апшижитийа,IV,апшижитийали,а,общежитие; истудентлāс апшижитийа студенческое общежитие; апшижитийалиъ эцал жить в общежитии
88,арбаъ,IV,арбаъли,а,среда
89,арбаъ-вод/о,IV,арбаъ-вод/ои,бо,среда (букв. среда день); арбаъ водиъ  дарсба йуьнхоьбаьлъчаь в среду начнутся занятия
90,аргъан,III,аргъанли,ла,"гармоника, гармонь, гармошка; аргъан баькьелал играть на гармошке; аргъалликьа кIисāл играть на гармошке"
91,аргъи,III,аргъила,ла,сезон; пихълис аргъи сезон фруктов; гьелIас аргъи период (сезон) созревания грецкого ореха; см. анта
92,арза,III,арзала,а,"заявление; жалоба; богьдабагийāс арза жалоба (заявление) рабочих; арза бовал написать жалобу, жаловаться, обращаться с жалобой (букв. заявление делать); арза нилIал дать заявление; арза чахал написать заявление (жалобу); отпускIалил арза нилIал подать заявление об отпуске; арзалахъа гуцIобахъал рассмотреть заявление (жалобу); арза хал бовал рассмотреть заявление (жалобу)"
93,армийав,I,армийавли,ла,"солдат, военнослужащий"
94,артис,I,артисли,ла,артист; кинолис артис киноартист
95,артискIа,II,артискIали,а,актриса; театерлис артискIа актриса театра; кинолис артискIа киноактриса; артискIалис гьунар мастерство актрисы
96,архив,IV,архивли,ла,архив; райоллис архив районный архив; архивлиъис испаравка йокчал брать справку из архива
97,арчинав,I,арчинавли,ла,арчинец
98,арчинай,II,арчинайли,ла,арчинка
99,аса,III,асали,а,палочка барабана; асāд дибитIо баькьелал играть палочками на барабане
100,асаъахим,IV,асаъахимли,ла,мелкокалиберная винтовка
101,асаъахим-топи,IV,асаъахим-топила,йа,мелкокалиберная винтовка
102,асиллъи,IV,асиллъила,йа,"уныние, отсутствие настрония; асиллъи гаьчIел гей без настроения (есть)"
103,аскар,IV,аскарли,ла,"армия, войско; танкāс (//танкалāс) аскар танковая армия; аскарлис укъо командующий войсками ♦ аскарлила къаьмкьаь во главе когочегол. (букв. во главе войска)"
104,асру,IV,асрула,ва,"век, эпоха"
105,атавли,III,атавлийа,йа,десять в кучу сложенных снопов (чантл.)
106,атIами,IV,атIамийа,йа,персик (плод); атIамийас кIаькIаь персиковая косточка; атIамийас хоьхоь персиковое дерево; атIамийас мураба варенье из персика; атIамийа йоьваькчаьл взять несколько персиков
107,ахбазан,IV,ахбазанли,ла,абрикос (плод); йикъō ахбазан спелый абрикос; ахбазаллис хоьхоь абрикосовое дерево; см. курак
108,ахир,III,ахирли,ла,"1. 1) конец, окончание; йаьжис ахир окончание слова; гьаьлтIилас ахир конец работы; ахирзу гаьъаь (гьолълъос) и конца не видно (этому) 2) рел. конец света 2. нареч. потом; затем; впоследствии; ахир гьуги икълаьшаьл уьнхоьлъийо потом (впоследствии) он начал говорить 3. вводн. сл. наконец, в конце концов; ахир гьоггōл богьдабāл муьхоьбаьлъийо наконец, они (те) начали работать"
109,ахират,III,ахиратли,ла,"рел. загробный мир, загробная жизнь ♦ ахиратлис билIо жилье будущей вечной жизни; загробный мир, загробная жизнь; тот свет (букв. дом на том свете) ▼"
110,заман,III,заманли,ла,"рел. 1) конец света, светопреставление 2) перен. полный беспредел; ахирзаман мокъойо пришел конец всему"
111,ахослъи,IV,ахослъила,ла,"добро, доброта; ахослъи йовал делать добро; гьоггōл ахослъилаъ гей они хорошо живут ▲"
112,ахранлъи,IV,ахранлъила,йа,"работа сторожа (охранника); ахранлъилаъ (// эцал) огьдāл работать сторожем (охранником); ахранлъи йовал а) сторожить, караулить б) работать сторожем"
113,ахъо,II,ахъхъа,ахъхъа,"жена, супруга; ахъхъас або тесть; ахъхъас ийо теща; ахъхъас ис шурин; ахъхъас иси свояченица; ахъхъас оьжоь пасынок; ахъхъас кид падчерица; истIис ахъо невестка (жена брата); оьждис ахъо сноха; абос ахъо мачеха; ахъо йенкьал выходить замуж; ахъо йолъолал разводиться с женой; ахъо йенйал (// нилIал) выдать замуж; ахъо йонкъал женить, жениться, вступить в брак; ахъо нисолал сватать; ахъо йенкьейо а) вышла замуж б) замужняя ♦ ахъхъала кунталаъ  36 энкьал быть подкаблучником; быть в полном подчинении (или в зависимости) от жены, быть полностью под властью жены (букв. идти под платье жены); ахъо гиса йагъал вывести невесту, чтобы отвести в дом жениха (букв. жену на улицу забрать); ахъо йунцал спрятать невесту, припрятать невесту (по обычаю  в первый день свадьбы невесту прятали от жениха и родственников до вечера) ▲"
114,ахъо-къова,II,ахъо-къова,а,"молодая жена, супруга (букв. женаребенок)"
115,ахъона,III,ахъонали,а,зоол. ярка; ахъонā йегъабакIал содержать ярочек
116,аьбаьшникI,I,аьбаьшникIли,ла,"лесничий, лесник; аьлIаьш аьбаьшникI лесник села"
117,аьбаьшникIлъи,IV,аьбаьшникIлъила,ла,должность (профессия) лесника (лесничьего); аьбаьшникIлъилаъ огьдāл работать лесником (лесничим)
118,аьбаьъаьв,I,аьбаьъаьвли,ла,немой; см. йаьжегаьччоь
119,аьбаьъаьй,II,аьбаьъаьйли,ла,немая; см. йаьжегаьччоь
120,аьбдаьл-диъи,II,аьбдаьл-диъила,йа,бот. название цветка (букв. глупеццветок)
121,аьбдаьллъи,IV,аьбдаьллъила,йа,"1) глупость 2) безрассудство; безумие, сумасшествие; аьбдаьллъи йовал а) делать всякие глупости б) совершать безумные поступки"
122,агарав,I,агаравли,йа,родственник; ахъхъас аьгаьраьв родственник жены (супруги); гьицас аьгаьраьв близкий родственник; атāс аьгаьраьв дальний родственник
123,агарай,II,агарайли,йа,"родственница; абос аьгаьраьй родственница со стороны отца, отца родственница; дибо ахъо дие аьгаьраьй йахъца твоя жена – моя родственница"
124,аьгь,III,аьгьбаь,ба,сад; пихълис аьгь фруктовый сад; аьгь бовал развести сад; аьгьбаьъ къова кIисабас дети играют в саду
125,аьгьваьл-гьаьл,III,аьгьваьл-гьаьлли,ба,"1) положение; обстоятельство 2) образ жизни, житьебытье; аьгьваьлгьаьл нигъад гей? как живешь? как дела? къацIцIо аьгьваьлгьаьл бикъелал выяснить все обстоятельства ♦ аьгьваьлгьаьл бикъеэш сукIо малоопытный (молодой) человек (букв. положениесостояние не знающий человек)"
126,аьгьи,III,аьгьила,ба,"1) крик, зов; букъо аьгьи большой крик 2) просьба (о помощи), призыв; аьгьи бовал призывать; просить помочь; аьгьилагъа н э кьал идти на помощь (на призыв); аьгьилакьа говал явиться (прийти) на призыв (зов) ♦ аьгьилагъа гōваъцой торопливо, поспешно (букв. как будто на зов, призыв приехал)"
127,аьгьи-гьуьр,III,аьгьи-гьуьрли,ба,"шум; крик, зов; суматоха; букъо аьгьигьуьр большой шум, большая суматоха; аьгьигьуьр бовал а) поднять шум б) кричать, призывать; аьгьигьуьр баьгъиълаьл поднять шум (крик); поднять суматоху"
128,аьдаьмлъи,IV,аьдаьмлъила,ба,"человечность; уважение; аьдаьмлъи йовал оказать гостеприимство (хороший прием, уважение) (букв. человечность делать); аьдаьмлъи гаьччоь сукIо неотзывчивый человек"
129,аьдаьт,III,аьдаьтли,ба,"1) адат, обычай; вагьаддийо аьдаьт такой обычай; аьдаьт бовал соблюдать обычай 2) привычка; дие къайкьа уццас аьдаьт гей у меня привычка рано ложиться"
130,аьджаьм,IV,аьджаьмли,ба,аджам (письменность дагестанских языков на основе арабского алфавита); аьджаьм чахийолъи письменность (письмо) на аджаме (букв. аджам писанина)
131,аьжаьиблъи,IV,аьжаьиблъила,ба,"1) удивление 2) необычность, странность 3) необыкновенность"
132,аьждаьгь,III,аьждаьгьли,ла,миф. дракон
133,аьйиб,III,аьйибли,ла,"вина; букъо аьйиб большая вина; аьйиб гаьччоь безвинный; дибола аьйибликьа по твоей вине; аьйиб бовал (// гулал) а) попрекать, укорять, упрекать б) винить, обвинять (букв. упрек, вину делать); аьйиб бецал оказаться виновным; аьйиб болъолал оправдывать, снимать вину (обвинение); гьинкьас аьйиб болъолал загладить свою вину; лъōлади аьйибликьа по чьейнибудь вине ▲"
134,аьйраьн,IV,аьйраьнли,ла,"кул. кефир; ицIцIо аьйраьн свежий кефир; аьйраьн йовал приготовить кефир; аьйраьн хулIал пить кефир; см. цIела, кIатих"
135,аькичIаьр,III,аькичIаьрли,ла,"1) сказка, россказни 2) перен. небылица; аькичIаьр хабалла йенйагьал рассказать сказку (небылицы)"
136,аькIоьшкIаь,IV,аькIоьшкIаьли,а,"окно, окошко; жуьгъуьш аькIоьшкIаь окошко окна; аькIоьшкIаь гулал вставить окно; аькIоьшкIаь йенгьал открыть окно"
137,аьлаьмаьтлъи,IV,аьлаьмаьтлъили,а,"1) чудо, диво 2) удивление, изумление йукъо аьлаьмаьтлъи а) большое чудо б) большое изумление"
138,аьлаьх,III,аьлаьхли,ла,"глушь; неосвоенная земля, целина; см. авлахъ"
139,аьлгьаьм,III,аьлгьаьмли,ла,1)
140,аьлип,III,аьлипли,ла,1) алиф (первая буква арабского алфавита) 2) уст. алфавит ▲
141,аьлип-бӣ,IV,аьлип-бӣли,ла,"уст. алфавит, азбука; аьлипбӣ малъци йовал учить буквы арабского алфавита, учить читать поарабски (букв. «алифби» научить); см. аьлип"
142,аьмаьл,III,аьмаьлли,ла,"повадки, замашки; черты характера; кIетIо аьмаьл гаьгьийо сукIо человек с хорошим характером; букъо аьмаьл гаьгьийо сукIо высокомерный человек ♦ аьмаьл гаьччоь сукIо (//аьдаьм) а) человек с плохим (дурным) характером б) гулящий человек (букв. характер не имеющий человек); аьмаьл мелъейā одинаковые (равные, похожие, близкие) по характеру (букв. характеры ровные); аьмамлаь йегабалал показать свой характер; аьмаьл бугъал испортиться (о характере человека) (букв. характер умереть); аьмаьллаь йовагьал показать высокомерие (чопорность), высокомерничать, вести себя горделиво (букв. характеры показать, делать); тIутIна война муьхъеэш (//бохеэш) аьмаьл отвратительное поведение, мерзостное поведение [букв. бросив даже собака не едящий (// не держащий) характер] ▲"
143,аьмаьллаьхъ,I II0,аьмаьллаьхъли,ла,гордец
144,аьмаьл-хасийат,III,аьмаьл-хасийатли,ла,"1) характер; черта, нрав 2) поведение кIетIо аьмаьлхасийат гаьгьийо кид благонравная девушка, девушка с хорошим поведением ▼"
145,аьндаьв,I,аьндаьвли,ла,андиец
146,аьндаьй,II,аьндаьйли,ла,андийка
147,аьнтлъи,IV,аьнтлъила,ла,"глупость, придурковатость; гьинис гаьгьийо аьнтлъи йегалал показать свою глупость"
148,аьраьбийав,I,аьраьбийавли,ла,араб
149,аьраьбийай,II,аьраьбийайли,ла,арабка
150,аьраькъ,IV,аьраькъбаь,ба,пропасть; йукъа аьраькъбаьъ лъукъзи бахъийо мигьна бекийо раненая птица упала в большую пропасть
151,аьраькъаь,III,аьраькъаьли,ба,1) водка; билIā аьраькъаь крепкая водка 2) самогон; аьраькъаь багъал гнать самогон; аьраькъаь хулIал пить водку (самогон) ♦ аьраькъийад магъо кIетIкIал похмеляться (букв. тело водкой делать хорошим)
152,аьржаьм,III,аьржаьмли,ба,"рел. рай ♦ аьржаьмлис агьло праведники, святые (попадающие или попавшие в рай) (букв. люди рая); аьржаьмлис ниъматла а) райские блага б) райские фрукты (бананы, финики, яблоки); аьржаьмлис пихъ райские фрукты (бананы, финики, яблоки) (букв. фрукты рая); аьржаьмлиълъийо гьаьл гей гьолIоъ здесь очень хорошо; здесь прямо рай (букв. как в раю состояние есть здесь); аьржаьмликьа хъазахъбасцой кул бахъал иметь (надеяться) несбыточную мечту (букв. как грузин мечтать о рае)"
153,аьттаьгьийат,III,аьттаьгьийатли,ба,рел. молитва (читают при намазе в сидячем положении); аьттаьгьийат хъовал читать молитву
154,аьтIиракь,III,аьтIиракьли,ла,"плоскость, равнина; аьтIиракьлиъ боьваьчаьл переселиться на плоскость; аьтIиракьлиъ оьмроь бовал жить на плоскости"
155,аьхваьхъаьв,I,аьхваьхъаьвли,ла,ахвахец
156,аьхваьхъаьй,II,аьхваьхъаьйли,ла,ахвахка
157,аьхелдаги,I,аьхелдагийа,баьхелдабагийа,пильщик
158,аьхъуьшаьв,I,аьхъуьшаьвли,ла,1) акушинец 2) даргинец
159,аьхъуьшаьй,II,аьхъуьшаьйли,ла,1) акушинка 2) даргинка
160,аьчуьн,IV,аьчуьнаь,а,"оселок, точильный брусок (камень); аьчуьнаьд цIитI аьнчаьл точить нож оселком"
161,аьчуьн-бох,IV,аьчуьн-боха,а,бот. название растения (букв. точильный каменьтрава)
162,аьчIаьраьв,I,аьчIаьраьвли,ла,аджарец
163,аьчIаьраьй,II,аьчIаьраьйли,ла,аджарка
164,аьчIроь,III,аьчIроьли,ва,бункер (для засыпания зерна на мельнице); хъибас аьчIроь боцIлал наполнить бункер пшеницей
165,аьши,IV,аьши,йа,"игр. туктук, аши (слабый удар, на который один из играющих должен ответить тем же) (хаш.); см. акьало2"
166,аьшкIена,III,аьшкIенали,а,1) анат. рубец (часть желудка) 2) колбаса (горская); аьшкIена гьелал варить колбасу
167,аьшоь,III,аьши,аьшоьраь,колесо (хаш.); см. оьрраь
168,аьнгъаькоь,III,аьнгъаькоьли,рол,зоол. улитка (тляд.) см. боьлIоькъаь н н
169,аᴴгъо,IV,аᴴгъа,ва,"пазуха; ангъаъ за пазухой; ангьаъ гулал положить чтол. за пазуху; сийодисуди ангьаъ йохал держать чтол. за пазухой ♦ ангъаъ ургъел переживания (неприятные проблемы), доставляемые детьми (букв. проблемы в пазухе) ▲"
170,аᴴза,IV,аᴴзала,ва,"бот. рябина; йикъō анза спелая рябина; анзалас хоьхоь рябиновое дерево; анзалас мураба варенье из рябины aн3akI IV (ба,ба) кувалда, молот; анзакI йаькьелал ударить кувалдой; анзакIбад гьуцIа гьудаъ баькьелал забить кувалдой клин в дерево ♦ анзакIлъийо сукIо тяжелый, неповоротливый человек (букв. человек наподобие кувалды)"
171,гьуᴴцIа,IV,гьуᴴцIали,ва,"инструменты (букв. кувалда, молотклин)"
172,аᴴзо,IV,аᴴзоли,ва,иней; см. баб
173,аᴴкъало,III,аᴴкъалоли,ва,бот. белена черная
174,аᴴкъиллъи,IV,аᴴкъиллъила,ва,"мудрость,  рассудительность ▲"
175,аᴴкъло,III,аᴴкълола,ва,"1) ум, интеллект; разум, рассудок; анкъло гаьгьийо сукIо умный человек; гьоглIос анкълона берцинлъина гей у нее ум и красота (есть) 2) совет; кIетIо анкъло нилIал дать хороший совет; анкъло бовал дать совет (посоветовать); лъоди нилIийа анкълолакьа уьнхоьнаьнхаьнл н последовать чьемун. совету ♦ а кълолас къаьм человек с блестящим умом, большой умница, ума палата (букв. голова ум); анкълолаъ (// анкълолакьа) онкъотохъеэш сукIо слабоумный человек (букв. ум не постигший человек);"
176,аᴴкъло-лъай,IV,аᴴкъло-лъайли,ва,"ум и знание ▲ анкълолъай гаьччоь сукIо  43 лъинкьаназу боьжчаь, цIодораб сукIо шибаб багъоцас хаьбаь масана багъос погов."
177,аᴴкъломалъи,III,аᴴкъломалъила,ва,"нравоучение, поучение; анкъломалъи бовал читать нравоучения (поучать); анкъломалъи бохал вести себя хорошо (после поучения), воспринять поучение"
178,аᴴкъо,III,аᴴкъи,аᴴкъбо,"мед.  двуглавая мышца, бицепс"
179,аᴴкъоба,III,аᴴкъобали,аᴴкъбо,"мука, мучение; страдание; анкъоба бегāйо сукIо человек, испытавший мучение; анкъоба бегāл мучиться; анкъоба нилIал (// бегалал) пытать, мучить ▼"
