,stem,translation
54,вагьадда̄зу," 1) просто так 2) так, даром, бесплатно"
55,вагьалла̄, вот так
56,вагьга̄," так, вот так (дальше от говорящего и слушающего)"
57,вагьгишинаб, столько
58,вагьда̄, вот так (как тот) (близко к говорящему)
59,вагьдишинаб, столько
60,вагьла̄," так, вот так (дальше от говорящего и слушающего)"
61,вагьла̄зу, просто так
62,вагьлишинаб, столько
63,валав," ни разу, никогда"
64,воддиъ," ежедневно, каждый день"
65,гама̄д," много (букв. кипами, кучами)"
66,гаьлъгъаь, так (как есть)
67,гаьлълъа̄ьчоь, там (на том же месте)
68,га̄д, много
69,гелокьас," вдруг, неожиданно, внезапно"
70,гелокьассу," вдруг, неожиданно, внезапно"
71,гелокьас," иногда, временами"
72,гигьид," тайком, скрытно"
73,гизила, в следующем году
74,гизилалалъ, через два года
75,гизилала̄лъ, через тричетыре года
76,гикьа, в знач. на краю
77,йикьа, на краю ♦ гикьайикьа онкъал дойти до крайности (до предела)
78,гикьайцӏо, со знач. на краю
79,гилакьа, на плечах
80,гилъ," глубоко, вглубь"
81,гилӏ, вниз
82,гисда̄," наружу, на улице"
83,готӏарилӏ, быстро и стремительно
84,гъугълокьа, на корточках
85,гьако, поздно
86,гьакьа, пешком
87,къолӏда̄, валетом
88,гьалошаьтӏтӏоь, босиком
89,гьацо," прицельно, метко"
90,гьабсаъат, сейчас
91,гьаьгъаь," со знач. перед глазами ♦ гьаьгъаь аьнйда̄ь йецал а) стоять перед глазами б) представить, вспомнить в) не забывать"
92,гьаьдуьршаь, наготове
93,чочоъ," на закорки, на закорках (на плечи)"
94,гьаьлкизиан," много, в большом количестве"
95,гьаьллид, 1) силой
96,гьаьлликъа, с силой
97,гьаьте, медленно
98,гьаьтейцӏо, со знач. в 9 или 10 часов дня
99,гьаьткун," 1) беспрерывно, безостановочно"
100,гьаᴴже," теперь, сейчас, ныне"
101,гьаᴴкъкъа, иногда
102,гьаᴴкъкъадана, хоть раз
103,гьаᴴкъкъалаъ," иногда, редко"
104,гьаᴴкъкъана," ни разу, никогда"
105,гьеᴴх," очень быстро, мгновенно"
106,гьеᴴхда̄ла, недавно
107,гьеᴴхзу," давно, давным-давно"
109,гье̄ᴴхзу," давным-давно, очень давно"
110,гьеᴴх, часто
111,гьид," со знач. на дороге, в пути"
112,гьид," со знач. в дороге, в пути"
113,гьисабалда, осторожно
114,гьицада̄," очень близко, совсем рядом"
115,тигъа," близко, поблизости"
116,гьиᴴхъхъалакьа̄," по порядку, по очереди"
117,гьолӏоъ," здесь, тут, сюда"
118,гьоъокьа," высоко, выше"
119,къона," немного, немножко, несколько, один-два"
120,гьоᴴсолаъ," иногда, временами"
121,гьоᴴсолаъ, иногда
122,гьоᴴссу, всегда
123,гьоᴴсцо, одиноко
124,гьоьншшоьнаь, ничего
125,гьотта̄," везде, всюду (там-тут)"
126,гьугишинаб, столько
127,гьугиъ, там
128,гьудишинаб, столько
129,гьулишинаб,  столько
130,гьулиъ," там, туда"
131,гьуьчӏбо̄ьлъ," только что, недавно"
132,гьуьчӏбо̄ьлъда̄ьлаь," только что, недавно"
133,гьуᴴкьогъа," широко, свободно"
134,гьакьа," просторно, привольно"
135,гьуᴴлъ, вчера
136,гьуᴴлъбехъхъа, со вчерашнего дня
137,гьуᴴлъбос, позавчера
138,гьуᴴлълалъ, позавчера
139,гьуᴴлъла̄лъ, позапозавчера
140,гӏозийаб, много (тляд.)
141,даим, постоянно
142,даьгь," мало, немного"
143,даьгьаьбба̄ьжаь," еще немного, еще чуть-чуть"
145,дена, 1) со знач. против
146,бета," 1) везде, всюду"
147,денана," опять, еще раз"
148,дӣс," много, достаточно, обильно, часто"
149,жаллагужа," редко сначала, снова (тляд.)"
150,же," теперь, сейчас, ныне"
151,жегун," пока, еще"
152,къкъа," до сих пор, все еще, пока ♦ же-гьанкъкъа кьодогъодойцIо гей пока витает в облаках (букв. пока наверху-вверх есть)"
153,гьоᴴкьо, вот-вот
154,гьуьчӏбо̄лъ," только что, буквально недавно"
155,данде," только что, сейчас"
156,жейса, сегодня
157,жейсакцал," до сегодняшнего дня, до сих пор"
158,хиса," сегодня-завтра, в эти дни"
159,жека̄лъо," именно теперь, сейчас"
160,жекцал, до сих пор
161,желакьа̄," с этого времени, с этого момента (чуть раньше времени)"
162,желӏба, в этом году
163,желӏбалалъ," в этом году, с этого года"
164,желӏбалаъ," с этого года, в этом году"
165,жена," 1) и сейчас, и теперь"
166,заипса," слабо, истощенно"
167,замаллиъ, время от времени
168,замаллиъ, вовремя
169,зат, редко много чего-л. (тляд.)
170,золлид, 1) силой
171,залад," 1) едва, насилу, с большим трудом"
172,икье, в знач. в прошлом году
173,икьебехъхъа, с прошлого года
174,икьебос, в знач. в прошлом году
175,икьелалъ, в знач. в позапрошлом году
176,илъенда̄," с шести сторон, в шести местах"
177,илъенина, вшестером
178,иргалкьа, по очереди
179,итӏина̄кьа," в знач. с детства, с малых лет"
180,итӏӣно, еще немного
181,кепликьа, весело
182,ицила̄гъад, по-стариковски
183,ицӏцӏагъад," заново, снова, сначала"
184,ицӏцӏакьа, вначале
185,ӣна," понемногу, мало"
186,ӣна, мало
187,ӣна̄къа, постепенно
189,йазихлъилаъ, 1) бедно 2) беспомощно
191,йалӏокъей, днем
192,йалӏохъовадда̄, в полночь
193,йаьгьаьгга̄ьжуь, 1) просто так
194,йаьгьла̄ь, так
195,йиглад, в знач. 1) десятками 2) много
196,йигъа, вглубь
197,йикъесзу, явно
198,йоькькьаь," мало, немного, чуть-чуть, негусто"
199,йоькькьалил," на некоторое время, на короткое время"
200,йоькькьаьшша̄ьжаь," еще немного, еще чуть-чуть"
201,йоькькьа̄ьжаь, еще немного
202,йуьргъаьлаьъ, иноходью
203,кайлӏоваъ, мгновенно
204,кеш," даром, бесплатно"
205,кешдайни, назло
206,кеш," даром, бесплатно"
207,кийалда, со знач. 1) в покое
208,кикокьа," легко, налегке"
209,кокьа, китла-котла (название второго этапа игры в «чижики»)
210,колӏгъа, в знач. в темноте
211,къайкьа, рано
212,къацӏойцӏо," вместе, совместно"
213,къейцӏо, по земле
214,къекъегъа," 1) широко, свободно"
215,къацӏо," вместе, совместно"
216,къокъго," коротко, кратко"
217,къонда̄," с двух сторон, в двух местах"
218,къонина, вдвоем
219,кьапӏун, быстро
220,кьа̄ь, 1) обратно
221,кьода̄лъи," надолго, в долгое время"
222,лӏийода̄," везде, всюду (букв. вверх-вниз)"
223,кьодогуцӏо," поверхностно, формально"
224,йикьа, на самом верху
225,кьодойцӏолакьа̄ь," 1) сверху 2) перен. по верхней (горной дороге, по тропинке"
226,лӏийо, вверх-вниз
227,кьодтуцӏо," 1) наверху, сверху"
228,кьоьллаькьа̄ь, 1) по направлению вниз
229,кьодо," на самом верху, на верхней части чего-л."
230,кьухъналда," красиво, хорошо"
231,кӏаьйда̄ь, наизнанку
232,кӏетӏакьалаъ," направо, справа"
233,кӏетӏаъкьа̄," по-хорошему, добром"
234,кӏинкьа, на одной ноге (тляд.)
235,ла, сколько (по счету)
236,ласоди, 1) несколько
237,ла̄хди, вопр. сколько раз
238,лебалалда, красиво
240,лъанина, втроем
241,лъаьраьъаьллигъад, по-кумыкски
242,лъехъиъ, со знач. на одной стороне косо (характеризует состояние  обуви со стопанными задниками и каблуками)
244,лъинибза," почему, отчего, изза чего"
245,лъинина, впятером
246,лъина," по пять, по пяти"
247,кьапӏилакьа," ловко, быстро, быстрым движением"
248,лӏийода̄, 1) книзу 2) очень низко
249,лӏийойцӏо," внизу, снизу"
250,лӏийойцӏолакьа̄ь, 1) снизу 2) перен. по нижней (шоссейной) дороге
251,лӏийокьа," низко, невысоко"
252,кьодо," везде, всюду (букв.верх-вниз)"
253,лӏийолакьа̄, 1) вверх
254,лӏилма, зимой
255,лӏилӏгъа," ежегодно, каждый год"
256,лӏийо, на самом внизу
258,лӏобагъа, до полудня
259,лӏобакьа, в обед
260,лӏолӏогъа, в знач. приоткрыто
261,малъликьа," со знач. по совету, по указу"
262,марчӏокӏолъ," в сумерках, вечером"
264,мекъса, 1) неправильно
265,мехлаъ, иногда
266,милъиъ, со знач. на колени
267,милӏалъ, со знач. во сне
268,мискинлъилаъ," бедно, убого, в нищете"
269,мицаъ, со знач. местами
270,нада̄д," куда, где"
271,суди," где-нибудь, гделибо"
272,наьгьаькъдаь," напрасно, зря, бесцельно"
273,на̄да̄," где, куда"
274,на̄да̄ла̄кьа̄, откуда
275,на̄да̄с, откуда
276,на̄ди," где-то, куда-то"
278,на̄кьа̄д," откуда, с какого места"
279,на̄кьа̄ди," откуда-то, с какогото места"
281,на̄кьа̄на, 1) ниоткуда
282,на̄кьа̄назу," отовсюду, со всех сторон"
283,на̄на, нигде
284,на̄назу," везде, всюду"
285,на̄ди," везде, всюду (букв. откуда-куда)"
287,на̄сна, 1) ниоткуда
288,на̄сназу," отовсюду, со всех концов"
289,нигъад," как, каким образом"
290,нигъади," 1) недружелюбно, неприветливо 2) плохо (состояние здоровья) 3) плохо, неудобно"
292,нигъана, отриц. никак
293,нисдайлил," в знач. после обеда, в послеобеденное время"
294,нисда̄," к вечеру, вечером (3–6 часов"
295,нитод, когда
296,нитогаьлъдаьнаь, когданибудь
297,нитоди, 1) когда-нибудь
299,нитокцалди, 1) до каких пор
300,нитона, никогда
301,ниттоназу, 1) всегда
302,нише, ночью
303,нишебехъхъа, с ночи
304,йалӏокъей, днем и ночью
305,нишейцӏо," ночью, к ночи"
307,нухъулӏ, под мышкой
308,оьлкьаь," вдруг, неожиданно (хаш.)"
309,оьхоьгъаь," плохо, некрасиво"
310,оᴴкъаъда̄, в знач. 1) на теневой стороне
311,оᴴкьакьалаъ, налево (на левой стороне)
313,оᴴъоᴴъ, дет. на закорках (на верхнюю часть спины)
314,оьнкъоьнда̄ь," с четырех сторон, в четырех местах"
315,оьᴴкъоьнина, вчетвером
316,къоьнхаьбаьла̄ькьаь, на четвереньках
317,пигьа," 1) дешево, недорого"
318,подлиъ," в знач. в подготовительный класс, в подготовительном классе"
319,ришша, прямо (тляд.)
320,рулӏуъдола, очень мало
321,сагъда," 1) много, достаточно"
322,саламатго, 1) со знач. здоров
323,сагьиралда," хитро, лукаво"
324,саламацца," 1) весьма, довольно, заметно, значительно"
325,са̄ла, на (в) одном месте
326,са̄лана, 1) нигде
327,са̄ла, местами
328,сибова, осенью
329,сидда̄," в одно место, в одну сторону"
330,сикӏолӏӣда̄," ничком, лицом вниз"
331,симакьа, назло
332,сидда̄, местами
335,со̄ᴴ," вокруг, кругом"
336,сувал, почему (тляд.)
337,суди, почему-то
338,суле, почему (же)
339,тасталкьа, рядами
340,тук, иногда
341,терхилакьа," быстро, поспешно и незаметно"
342,тели," много, больше, чем положено"
343,тигъа, вплотную
344,тигъайцӏо, вплотную к чемул.
345,нигъа," туда-сюда, везде, всюду (букв. вплотную и тому подобное)"
346,тикьада̄," в знач. на ту сторону, на другую сторону"
347,тилӏ," 1. на ту сторону, на другую сторону"
348,тисда̄," в знач. к ним (к соседям), у них"
349,нисда̄, везде
350,тохса, 1) беспечно
351,тӏагузо, еще
352,тӏимкьа, на цыпочках
353,тӏири," нисколько, ни капли"
354,тӏокӏаб, больше
355,тӏуббан, полностью
356,унгосалда, всерьёз
357,ургъунго," умышленно, нарочно"
358,ургъунна," умышленно, нарочно, намеренно, специально"
359,уруслигъад, по-русски
360,уцбат," 1) вдруг, неожиданно"
361,уьчӏаьраьлда, 1) полностью
362,хасгу, особенно
363,хелегъа, на ровном месте
364,хехса, быстро
365,хизанийад," в знач. со всей семьей, с чадами и домочадцами"
366,хира, 1. дорого
367,хиса, завтра
368,хисалалъ, послезавтра
369,хисалалъиллаъ," послепослезавтра, на третий день"
370,хисала̄лъ," 1) (после) послепослезавтра, на четвертый день"
371,хисалалъ, завтрапослезавтра
372,хисда̄ла," утром, в утреннее время, в первой половине дня"
373,хискьа, утром
374,хискьабехъхъа," в знач. весь день, целый день"
375,хискьалаъ, по утрам
376,хиссакьа," рано утром, под утро"
377,хухлокьа, торчком
378,хуьрчуьлла̄ькьаь," кувырком, кубарем"
379,хъаплӏо," неожиданно, внезапно"
380,хъатла̄кьа, на четвереньках
381,хъацалкьа, галопом
382,хъаьчӏго, грубо
383,хъохъда̄, 1) неправильно
384,цат," плохо, нехорошо"
385,центӏа," 1) моментально, мгновенно (тляд.) 2) неожиданно"
386,цӏакъ, очень
387,цӏаслаъ, всерьез
388,цӏиддаса," заново, снова, сначала"
389,цӏикӏун, много (больше обычного)
390,цӏихода̄, очень далеко
391,чамги," несколько раз, много раз"
392,чангу," много, часто"
393,чӏаьгоь," живо, живьем"
394,чӏаьй," криво, косо"
395,чӏекӏдо," криво, косо"
396,чӏай," зигзагом, криво"
397,чӏоьбоьгоь," 1) напрасно, попусту, зря"
398,шак," подозрительно, сомнительно"
399,шаьтӏтӏаькьаь," голо, обнаженно"
400,шеблакьа," на боку, боком, бочком"
401,шуьшоьгъаь, налегке (в легкой одежде)
402,эзеъан," много, достаточно"
403,эмедайцӏо, к весне
404,эмеда̄, весной
405,эᴴдда̄," внутри, внутрь ♦ эндда̄лако онсилъийо йовал отдыхать, особо не усердствовать в работе (букв. делать как вол, запряженный во внутреннюю часть ярма)"
